no,statement,status
1,I feel stressed about my exams,Negative
2,I am very happy today,Positive
3,I feel anxious and nervous,Negative
4,I am confident about my future,Positive
5,I feel lonely sometimes,Negative
6,I am feeling motivated to study,Positive
7,I feel depressed and sad,Negative
8,Today is an average day,Neutral
9,I am worried about my results,Negative
10,I feel relaxed and calm,Positive
11,I feel hopeless and tired,Very Negative
12,I am excited about learning new things,Positive
13,I feel pressured by expectations,Negative
14,I am feeling peaceful today,Positive
15,I feel overwhelmed with work,Negative
16,I am proud of myself,Positive
17,I feel insecure about my abilities,Negative
18,I am feeling positive and energetic,Positive
19,I feel exhausted mentally,Negative
20,I am grateful and happy,Very Positive
